Tract,VALUE,Shape_Length,Shape_Area,orig_ogc_fid
36099951000,10.2222003936768,59892.6131499059,179655876.424433,60800
36099950700,10,86017.4427790677,328020725.200689,60801
36099950500,10,30837.8252408239,43652199.7738957,60802
36099950100,10,76722.7352073585,290361792.210583,60803
36099950900,10,91755.4775288634,375768867.802807,60804
36099950800,10,95603.0833797859,466367953.289812,60805
36099950200,10,27439.3305750567,30664956.5359294,60806
36063024102,1.88889002799988,56958.1874541462,181805049.340567,60807
36063024302,1.88889002799988,76696.8870627237,237463424.85012,60808
36063020900,1.88889002799988,5091.3252183478,1358151.56057866,60809
36063024303,1.88889002799988,55648.4941722626,193479692.065902,60810
36063021300,1.88889002799988,3846.40569363259,923608.808553664,60811
36063020700,1.88889002799988,4372.39710382249,1145452.85149713,60812
36007012500,7.8888897895813,88462.876324933,437358475.668321,60813
36099950300,10,34093.9195317288,55696789.1240586,60814
36099950400,10,32012.714318781,46295090.8690059,60815
36099950600,10,43440.3409498826,61745650.6620713,60816
36063020400,1.88889002799988,5293.70699966092,1226154.17022247,60817
36063023401,1.88889002799988,83406.1593176481,108209083.199045,60818
36063021000,1.88889002799988,5187.13220625318,1488587.3584671,60819
36063021100,1.88889002799988,15623.3740718558,3920428.91028219,60820
36063021400,1.88889002799988,4459.88563280578,1201190.44828158,60821
36063020200,1.88889002799988,9426.11395232719,4226687.97346917,60822
36063023100,1.88889002799988,7203.35553059639,2079874.45851076,60823
36063023800,1.88889002799988,9475.89917360695,2770094.68201424,60824
36063024002,1.88889002799988,10204.68303147,4250894.99553181,60825
36063020100,1.88889002799988,10717.5386402139,4500266.97023261,60826
36063022100,1.88889002799988,8836.34259388343,3275090.64609052,60827
36063023902,1.88889002799988,11421.3964583258,6491614.66891348,60828
36063024301,1.88889002799988,12539.4910483256,3978890.0182354,60829
36063940100,4.33333015441895,12242.7814962522,3886727.98116446,60830
36063023404,1.88889002799988,46802.0458395689,45098483.5738522,60831
36063023405,1.88889002799988,9995.53998182097,6008436.15561403,60832
36063022902,1.88889002799988,11389.5737737551,5524999.05519155,60833
36063022901,1.88889002799988,12354.0120115616,3229273.38493653,60834
36063024600,1.88889002799988,13406.6401951386,7899537.79703563,60835
36007011902,7.8888897895813,57321.4101908005,197805831.484934,60836
36007000100,7.8888897895813,6869.6150054575,1583429.06163749,60837
36007000200,7.8888897895813,7461.9030605057,2557461.55760828,60838
36007000300,7.8888897895813,18316.4778970565,6137829.36355239,60839
36007000400,7.8888897895813,7202.49745216399,2270808.76439838,60840
36007000500,7.8888897895813,7751.60621633728,2429976.45612233,60841
36007000600,7.8888897895813,9503.94389228535,2987553.00576828,60842
36007000700,7.8888897895813,10555.9007331662,6307922.81437151,60843
36007000900,7.8888897895813,11242.5112241571,2739363.11837448,60844
36007001100,7.8888897895813,8898.6626792776,1822865.3763784,60845
36007001200,7.8888897895813,4248.42143421893,1106774.72735651,60846
36007001300,7.8888897895813,6833.99451235211,1284294.39428172,60847
36007001400,7.8888897895813,6971.94789474111,2655095.62653729,60848
36007001500,7.8888897895813,8515.46117630309,4171119.88515025,60849
36007001600,7.8888897895813,14487.6349582206,5595408.25344049,60850
36007001700,7.8888897895813,12783.5418593286,4669358.24300277,60851
36007001800,7.8888897895813,10957.2460078527,4106925.34139983,60852
36007012702,7.8888897895813,59015.5900962017,119074872.210872,60853
36007012101,7.8888897895813,38421.9777857397,61047807.5405286,60854
